bucket,diag_Q
1mo,1.4352067800627186
2mo,2.1201695423724938
3mo,2.4111806382581324
4mo,1.1179906637166033
6mo,3.8530039071607387
1y,9.521300580617813
2y,23.575157198315175
3y,23.256327577721155
5y,22.115493781971736
7y,20.62597382313047
10y,16.262453926643257
20y,15.326419274141488
30y,15.393629855202944
USDBRL,0.6252875836707931
USDCOP,1.4182183857399295
USDCLP,1.2165105632212458
USDPEN,0.42178124563602715
USDMXN,0.4784201791195912
USDEUR,0.21055751214548651
USDGBP,0.1957519158627046
USDJPY,0.2935044308518067
USDAUD,0.5199050208042453
USDCHF,0.24881533133309353
